"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently Using","Employment","Employed"
"1","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript","BigQuery;Cloud Firestore;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud","Angular;Express;NestJS;Node.js","Other","ChatGPT;Google Bard AI;Neeva AI","Writing code;Debugging and getting help","Employed, full-time","Employed"
"2","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Ada;Clojure;Elixir;Go;HTML/CSS;Java;JavaScript;Lisp;OCaml;Raku;Ruby;Scala;Swift;TypeScript;Zig","MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","AngularJS;jQuery;Node.js;Phoenix;Ruby on Rails;Solid.js;Svelte;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"3","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Dynamodb;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Fly.io;Netlify;Vercel","Angular;Express;Next.js;Node.js;React","Financial Services","Bing AI;ChatGPT;Google Bard AI","Project planning;Writing code;Debugging and getting help","Employed, full-time","Employed"
"4","Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL","Netlify;Vercel","Express;Next.js;React","Retail and Consumer Services","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time","Employed"
"5","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Ruby;TypeScript","MySQL","Amazon Web Services (AWS);Cloudflare;Netlify","Laravel;Next.js;React;Ruby on Rails","Higher Education","ChatGPT","Debugging and getting help","Employed, full-time","Employed"
"6","Durban Campus","IT","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Java;JavaScript;Lua;Python;SQL;TypeScript","Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Hetzner","AngularJS;Node.js;Spring Boot","Other","ChatGPT","Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Employed, full-time","Employed"
"7","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Legal Services","ChatGPT","Writing code;Documenting code;Debugging and getting help","Independent contractor, freelancer, or self-employed","Unemployed"
"8","East London Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","MongoDB;MySQL;Redis","Amazon Web Services (AWS);Netlify;Vercel","CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress","Financial Services","ChatGPT","Project planning","Employed, full-time","Employed"
"9","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net)","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Heroku;Microsoft Azure;Netlify;VMware","ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress","Higher Education","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Employed"
"10","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;JavaScript;PowerShell;Python;Ruby;TypeScript","Dynamodb;Elasticsearch;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku;Netlify","FastAPI;Flask;jQuery;Next.js;Node.js;React;WordPress","Retail and Consumer Services","ChatGPT","Writing code","Employed, full-time","Employed"
